@RELATION train_agent_It2.arff
   @ATTRIBUTE food_pos_x NUMERIC
   @ATTRIBUTE food_pos_y NUMERIC
   @ATTRIBUTE snake_pos_x NUMERIC
   @ATTRIBUTE snake_pos_y NUMERIC
   @ATTRIBUTE body_length NUMERIC
   @ATTRIBUTE move_RIGHT {True, False}
   @ATTRIBUTE move_LEFT {True, False}
   @ATTRIBUTE move_UP {True, False}
   @ATTRIBUTE move_DOWN {True, False}
   @ATTRIBUTE current_score NUMERIC
   @ATTRIBUTE current_direction {RIGHT, LEFT, UP, DOWN}
   @ATTRIBUTE distance_to_crash NUMERIC
   @ATTRIBUTE relative_head_apple_x {RIGHT, LEFT, SAME}
   @ATTRIBUTE relative_head_apple_y {UP, DOWN, SAME}
   @ATTRIBUTE next_score NUMERIC
   @ATTRIBUTE expected_direction {0, 1, 2, 3}

@data
340, 240, 360, 110, 7, True, True, False, True, 270, LEFT, 360, LEFT, DOWN, 269, 3
340, 240, 350, 110, 7, True, True, False, True, 269, LEFT, 350, LEFT, DOWN, 268, 3
340, 240, 340, 110, 7, True, True, False, True, 268, LEFT, 340, SAME, DOWN, 267, 1
340, 240, 340, 120, 7, False, True, True, True, 267, DOWN, 350, SAME, DOWN, 266, 1
340, 240, 340, 130, 7, False, True, True, True, 266, DOWN, 340, SAME, DOWN, 265, 1
340, 240, 340, 140, 7, False, True, True, True, 265, DOWN, 330, SAME, DOWN, 264, 1
340, 240, 340, 150, 7, False, True, True, True, 264, DOWN, 320, SAME, DOWN, 263, 1
340, 240, 340, 160, 7, False, True, True, True, 263, DOWN, 310, SAME, DOWN, 262, 1
340, 240, 340, 170, 7, False, True, True, True, 262, DOWN, 300, SAME, DOWN, 261, 1
340, 240, 340, 180, 7, False, True, True, True, 261, DOWN, 290, SAME, DOWN, 260, 1
340, 240, 340, 190, 7, False, True, True, True, 260, DOWN, 280, SAME, DOWN, 259, 1
340, 240, 340, 200, 7, False, True, True, True, 259, DOWN, 270, SAME, DOWN, 258, 1
340, 240, 340, 210, 7, False, True, True, True, 258, DOWN, 260, SAME, DOWN, 257, 1
340, 240, 340, 220, 7, False, True, True, True, 257, DOWN, 250, SAME, DOWN, 256, 1
340, 240, 340, 230, 7, False, True, True, True, 256, DOWN, 240, SAME, DOWN, 356, 1
340, 70, 340, 240, 8, False, True, True, True, 356, DOWN, 230, SAME, UP, 355, 3
340, 70, 330, 240, 8, True, True, False, True, 355, LEFT, 330, RIGHT, UP, 354, 1
340, 70, 330, 250, 8, False, True, True, True, 354, DOWN, 220, RIGHT, UP, 353, 2
340, 70, 340, 250, 8, False, True, True, False, 353, RIGHT, 130, SAME, UP, 352, 2
340, 70, 350, 250, 8, True, True, True, False, 352, RIGHT, 120, LEFT, UP, 351, 1
340, 70, 350, 260, 8, False, True, True, True, 351, DOWN, 210, LEFT, UP, 350, 3
340, 70, 340, 260, 8, False, True, False, True, 350, LEFT, 340, SAME, UP, 349, 3
340, 70, 330, 260, 8, False, True, False, True, 349, LEFT, 330, RIGHT, UP, 348, 1
340, 70, 330, 270, 8, False, True, True, True, 348, DOWN, 200, RIGHT, UP, 347, 2
340, 70, 340, 270, 8, False, True, True, False, 347, RIGHT, 130, SAME, UP, 346, 2
340, 70, 350, 270, 8, False, True, True, False, 346, RIGHT, 120, LEFT, UP, 345, 1
340, 70, 350, 280, 8, False, True, True, True, 345, DOWN, 190, LEFT, UP, 344, 3
340, 70, 340, 280, 8, False, True, False, True, 344, LEFT, 340, SAME, UP, 343, 3
340, 70, 330, 280, 8, False, True, False, True, 343, LEFT, 330, RIGHT, UP, 342, 1
340, 70, 330, 290, 8, False, True, True, True, 342, DOWN, 180, RIGHT, UP, 341, 2
340, 70, 340, 290, 8, False, True, True, False, 341, RIGHT, 130, SAME, UP, 340, 2
340, 70, 350, 290, 8, False, True, True, False, 340, RIGHT, 120, LEFT, UP, 339, 1
340, 70, 350, 300, 8, False, True, True, True, 339, DOWN, 170, LEFT, UP, 338, 3
340, 70, 340, 300, 8, False, True, False, True, 338, LEFT, 340, SAME, UP, 337, 3
340, 70, 330, 300, 8, False, True, False, True, 337, LEFT, 330, RIGHT, UP, 336, 1
340, 70, 330, 310, 8, False, True, True, True, 336, DOWN, 160, RIGHT, UP, 335, 2
340, 70, 340, 310, 8, False, True, True, False, 335, RIGHT, 130, SAME, UP, 334, 2
340, 70, 350, 310, 8, False, True, True, False, 334, RIGHT, 120, LEFT, UP, 333, 1
340, 70, 350, 320, 8, False, True, True, True, 333, DOWN, 150, LEFT, UP, 332, 3
340, 70, 340, 320, 8, False, True, False, True, 332, LEFT, 340, SAME, UP, 331, 3
340, 70, 330, 320, 8, False, True, False, True, 331, LEFT, 330, RIGHT, UP, 330, 1
340, 70, 330, 330, 8, False, True, True, True, 330, DOWN, 140, RIGHT, UP, 329, 2
340, 70, 340, 330, 8, False, True, True, False, 329, RIGHT, 130, SAME, UP, 328, 2
340, 70, 350, 330, 8, False, True, True, False, 328, RIGHT, 120, LEFT, UP, 327, 1
340, 70, 350, 340, 8, False, True, True, True, 327, DOWN, 130, LEFT, UP, 326, 3
340, 70, 340, 340, 8, False, True, False, True, 326, LEFT, 340, SAME, UP, 325, 3
340, 70, 330, 340, 8, False, True, False, True, 325, LEFT, 330, RIGHT, UP, 324, 1
340, 70, 330, 350, 8, False, True, True, True, 324, DOWN, 120, RIGHT, UP, 323, 2
